name,category,contraindications,description,drugInteractions,duration,effects,id,intensity,legalStatus,mechanismOfAction,onset,pharmacokinetics,preparation,region,scientificName,sideEffects,tags,therapeuticUses,toxicity,toxicityLD50,activeConstituents,affiliateLink,slug,compounds,sources,needsReview,image,safetyRating,dosage,commonNames,activeCompounds,traditionalUse
"Hypericum perforatum","Antidepressant / Nootropic","Use with SSRIs, pregnancy, strong sunlight exposure","Unknown","Strong inducer of liver enzymes, reduces efficacy of many medications","Ongoing with daily use","improved mood;reduced anxiety;light sedation","Unknown","Mild","Legal","Hyperforin and hypericin inhibit reuptake of serotonin, dopamine, and norepinephrine","Weeks","Onset weeks with regular use; duration ongoing","Dried flowering tops as tea or tincture","Europe, naturalized elsewhere","Hypericum perforatum","Photosensitivity, dry mouth, gastrointestinal upset","maoi;st. john's wort;mood","Mild to moderate depression, anxiety, sleep issues","Low to moderate",">2 g/kg in rodents","[object Object]","","hypericum-perforatum",,,,,,,,,
"Hyssopus officinalis","Stimulant / Expectorant","Epilepsy, pregnancy","Traditional biblical herb used for colds and rituals","Other stimulants","2-4 hrs","respiratory relief;mild alertness","hyssopus-officinalis","Unknown","Legal","Monoterpenes like pinocamphone stimulate circulation","20 min","Tea uptake within 30 min","Leaf tea or essential oil inhalation","Mediterranean","Hyssopus officinalis","High doses may cause seizures","⚠️ strong oil;🍵 tea","Coughs, focus","Moderate",">1 g/kg (oil)","[object Object]","","hyssopus-officinalis",,,,,,"1-2 g dried leaf",,,
"Iboga",,"Heart disease, psychiatric disorders.",,"Opioids, antidepressants.",,"","iboga",,"Unknown","Ibogaine affects NMDA, opioid, and serotonergic receptors.",,"Oral; onset ~1 hr; duration 8–24 hrs.",,"Unknown",,"Nausea, heart arrhythmia, hallucinations.",,"Addiction treatment, introspection.",,"LD50 ~263 mg/kg (mice, oral).",,,"iboga",,,"true","https://upload.wikimedia.org/wikipedia/commons/2/22/Tabernanthe_iboga.jpg",,,,,
"Guayusa","Stimulant / Amazonian / Adaptogen","Avoid with caffeine sensitivity, during pregnancy, or with cardiac arrhythmia.","A caffeinated Amazonian holly tree leaf used for lucid dreaming, focus, and ritual wakefulness. Known as the 'dreaming tea' by the Kichwa people. Smoother than yerba mate and less jittery than coffee.","Mild interactions with stimulants or sedatives. May mask fatigue.",,"Smooth stimulation;Vivid dreams;Antioxidant;Focus;Energy","ilex-guayusa","Mild–Moderate","Legal worldwide","Contains caffeine, theobromine, and L-theanine. Stimulates CNS while providing a relaxing balance via L-theanine’s GABAergic modulation.","15–30 min","Rapid oral absorption. Effects peak within 1 hr. No crash typical of synthetic caffeine.","Leaves dried and steeped as tea. Traditionally drunk before dawn in group rituals.","Amazon (Ecuador, Peru, Colombia)","Ilex guayusa","Mild insomnia or jitters at high doses. Gentler than most stimulants.","🌿 Dream tea;⚡ Stimulant;🧘 Smooth focus;☕ L-theanine","Used for morning energy, digestion, lucid dream preparation, and antioxidant support. Traditionally used before hunting or dreaming ceremonies.","Low. Comparable to green tea.","Caffeine LD50 ~192 mg/kg (rats, oral)",,,"ilex-guayusa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3682131/;Journal of Ethnopharmacology, 2011;Amazonian Shamanic Tea Practices – 2020","false",,,,,,
"Yerba Mate","Stimulant / Tonic / Social","Caution in hypertension, ulcers, or caffeine sensitivity. Avoid boiling hot consumption.","A South American herbal infusion made from the dried leaves of the yerba mate plant. Revered for its energizing and antioxidant effects, mate is consumed in communal rituals or daily focus routines.","Interacts with MAOIs, stimulants, or blood pressure meds. May influence CYP enzymes.",,"Mental alertness;Appetite control;Social energy;Metabolism boost","ilex-paraguariensis","Moderate","Legal worldwide","Caffeine, theobromine, and chlorogenic acid act as CNS stimulants and antioxidants. Enhances focus while reducing fatigue.","15–30 min","Caffeine absorbed orally within 15–45 min. Half-life ~4–6 hrs. Metabolized in liver by CYP1A2.","Traditionally drunk from a gourd with bombilla straw. Can be hot or cold brewed (tereré).","Argentina, Brazil, Paraguay, Uruguay","Ilex paraguariensis","Insomnia, GI irritation, or agitation at high doses. Possible link to esophageal cancer when consumed very hot frequently.","☕ Social;🔥 Thermogenic;🌿 Focus;⚡ Stimulant","Used for fatigue, digestion, weight loss, cognitive enhancement, and mild depression.","Low–Moderate (caffeine-related).","Caffeine LD50 ~192 mg/kg (rats, oral)",,,"ilex-paraguariensis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6926402/;South American Herbal Pharmacopoeia;Journal of Human Nutrition and Dietetics, 2008","false",,,,"Yerba Mate","Caffeine;Theobromine;Chlorogenic acid","Consumed as a social and energizing herbal tea throughout South America."
"Ilex vomitoria","Stimulant / Ritual","Heart conditions, pregnancy, anxiety disorders","Unknown","Additive with other stimulants","2–4 h","alertness;mild euphoria;cleansing","Unknown","Moderate","Legal","Contains caffeine and theobromine acting as adenosine receptor antagonists","15–30 min","Onset 15–30 min; duration 2–4 h","Leaves roasted and brewed as black drink","Southeastern United States","Ilex vomitoria","Nausea in excess, insomnia","north america;caffeine;yaupon","Native American ceremonial drink for stimulation and purification","Low",">1 g/kg caffeine in animals",,"","ilex-vomitoria",,,,,,,,,
"Garden Balsam","Anti-inflammatory / Antifungal / Traditional","Avoid internal use due to lack of safety data. Caution on broken or hypersensitive skin.","A colorful flowering plant native to Asia, known for its soothing effects on skin infections, wounds, and fungal issues. Used in traditional medicine systems of China, Korea, and India.","None known (topical use).",,"Wound healing;Antimicrobial;Anti-itch;Skin soothing","impatiens-balsamina","Mild–Moderate","Legal worldwide","Contains flavonoids, naphthoquinones, and essential oils with antifungal, antibacterial, and anti-inflammatory properties. Lawsone (also found in henna) contributes to antifungal effects.","Within hours (topical)","Primarily topical. Bioavailability data limited; extracts act locally on skin.","Leaves or flowers crushed into poultice or infused into water/alcohol for topical use.","South and East Asia","Impatiens balsamina","Rare. Mild skin irritation possible with overuse.","🌸 Skin;🦠 Antifungal;🌿 Traditional;💧 Soothing","Used to treat ringworm, athlete’s foot, nail infections, eczema, and inflamed wounds. Also applied to burns and bites.","Low in external application. Some species mildly toxic if ingested.","Not established",,,"impatiens-balsamina",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4704765/;Journal of Ethnopharmacology, 2005;Korean Pharmacopoeia","false",,,,,,
"Indian Lotus","Dissociative / Sedative","Pregnancy (caution), hypotension","Sacred flower in Buddhism and Hinduism, with mild psychoactive and calming properties. Often used in teas or tinctures.","Sedatives, CNS depressants","2–4 hrs","Calm;mild euphoria;dreaminess","Unknown","Mild","Legal","Likely GABAergic and dopaminergic effects (alkaloids: nuciferine, aporphine)","30–60 min","Onset: 30–60 min; Duration: 2–4 hrs","Tea from flowers or stamens; also smoked","India, Southeast Asia","Nelumbo nucifera","Drowsiness, dizziness","🌊 spiritual;🌸 sacred;🧘 calm","Stress, anxiety, spiritual use","Low","Not known",,"","indian-lotus",,,,,,,,,
"Indian Pipe","Dissociative / Sedative","Unknown; limited modern use","A ghostly white forest plant used in Native American medicine for pain and spiritual insight. Non-photosynthetic and mysterious.","Possibly CNS depressants","2–4 hrs","Analgesia;calm;emotional detachment","Unknown","Mild","Legal (but rare and protected in places)","Contains monotropin; acts possibly on NMDA or opioid systems (hypothetical)","30–60 min","Onset: 30–60 min; Duration: 2–4 hrs","Tincture of fresh or dried plant","Temperate forests of North America and Asia","Monotropa uniflora","Unknown at pharmacological doses; rare usage","🌲 pain relief;👻 ghost plant;🧠 emotional","Pain relief, emotional trauma support (traditional)","Unknown","Not established",,"","indian-pipe",,,,"https://upload.wikimedia.org/wikipedia/commons/f/f1/Monotropa_uniflora.jpg",,,,,
"Indian Warrior",,"Pregnancy, CNS depression.",,"Sedatives, depressants.",,"","indian-warrior",,"Unknown","May act on GABA receptors; muscle relaxant and sedative properties.",,"Smoked or tincture; onset 20–40 min; duration 2–3 hours.",,"Unknown",,"Drowsiness, dry mouth.",,"Muscle relaxation, sleep support, mild pain relief.",,"Limited data; traditionally used safely.",,,"indian-warrior",,,"true","https://upload.wikimedia.org/wikipedia/commons/5/56/Pedicularis_densiflora.jpg",,,,,
"Morning Glory (Heavenly Blue)","Psychedelic / Traditional / Visionary","Unsafe in pregnancy. Avoid with vasoconstrictors, MAOIs, or psychiatric medications.","This morning glory species contains LSA (lysergic acid amide), a natural psychedelic alkaloid structurally similar to LSD. Used by Aztec priests and modern psychonauts for altered states.","Do not mix with MAOIs, SSRIs, stimulants, or alcohol.",,"Visual distortions;Dream-like state;Nausea;Time alteration","ipomoea-tricolor","Moderate–Strong","Legal to grow; seeds often labeled 'not for consumption'","LSA is a serotonin 5-HT2A partial agonist, producing dream-like hallucinations and euphoria. Less stimulating than LSD but longer-lasting.","30–90 min","Orally active; onset in 30–90 min. Duration 6–10 hrs. Seeds must be properly prepared to reduce nausea.","Seeds are ground and cold-water extracted or chewed (after removal of husks). Traditional use involved spiritual fasting.","Mexico, Central America","Ipomoea tricolor","Nausea, vasoconstriction, lethargy, disorientation. Seeds sold commercially may be coated with toxins.","🌸 Psychedelic;🌈 Visionary;⚠️ Nausea-prone;🌀 Traditional use","Traditional ritual use for divination, reflection, and spiritual cleansing. Some modern use in microdosing or introspective journeys.","Low–moderate in raw form. Seed coatings can be toxic.","LSA estimated LD50 >150 mg/kg (rats, oral)",,,"ipomoea-tricolor",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5003218/;Plants of the Gods – Rätsch;Journal of Psychoactive Drugs, 2006","false",,,,,,
"Ipomoea tricolor (Heavenly Blue)","Ethnobotanical / Rare","Cardiovascular disorders, psychiatric conditions [0, 5].","Ornamental morning glory whose seeds induce LSD-like visions.","SSRIs/MAOIs [0, 5].","Unknown","LSD-like visuals;spiritual confusion","ipomoea-tricolor-heavenly-blue","High","Restricted in some countries","Unknown","30-90 min","Oral ingestion onset 45–120 min; duration 4–10 h; hepatic metabolism [0, 5].","Seeds ground and cold infused","🌎 Unknown / Global","Unknown","Nausea, vasoconstriction, headache [0, 5].","⚠️ restricted","Visionary experiences, ethnobotanical use [0, 5].","Low; rodent LD50 ~200–300 mg/kg [0, 5].","Unknown",,"","ipomoea-tricolor-heavenly-blue",,,,,"1",,,,
"Jimson Weed","Ritual / Visionary","Heart conditions, mental illness","Common weed producing powerful delirium when misused.","Anticholinergics, antihistamines","8–24 hrs","delirium;hallucinations","datura-stramonium","Unknown","Unregulated but dangerous","Scopolamine and atropine block muscarinic receptors","30–60 min","Oral absorption; hepatic metabolism","Seeds or leaves consumed (dangerous)","Worldwide","Datura stramonium","Severe confusion, elevated heart rate","☠️ toxic;⚠️ caution","Historically asthma treatment","Very high","~50 mg/kg (atropine)","[object Object]","","jimson-weed",,,,,,"5–15 seeds",,,
"Justicia adhatoda","Ethnobotanical",,"Also called Malabar Nut, this herb has traditional uses as a respiratory aid and mild sedative.",,,"calming;respiratory clearing;mild sedation","justicia-adhatoda",,"Unknown","Bronchodilation + GABAergic",,,,"India, Sri Lanka","Justicia adhatoda",,"sedative;respiratory;ayurvedic",,,,,,"justicia-adhatoda","Vasicine;Vasicinone",,"false",,,,,,
"Justicia pectoralis","Ritual / Visionary","Liver disorders, pregnancy","Aromatic herb called tilo, brewed or smoked for calming effects.","Coumarin-sensitive meds (e.g., blood thinners)","2–5 hrs","Relaxation;light euphoria;spiritual dreams","justicia-pectoralis","Mild","Legal","Likely GABAergic; coumarins may modulate CNS","15–45 min","Onset: 15–45 min; Duration: 2–5 hrs","Smoked or made into tea","Amazon basin","Justicia pectoralis","Liver risk in excess due to coumarin","✅ legal;🌿 ayahuasca-additive;🧘 calm","Anxiety, insomnia, spiritual enhancement","Low–moderate with excess","Not established",,"","justicia-pectoralis",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7820446/;Journal of Ethnopharmacology, 1999;Shamanic Pharmacopoeia – Amazonian Plants","false",,"1",,"Tilo;Freshcut","Coumarin;Umelliferone","Used in Amazonian herbal mixtures and healing brews."
"Kana",,"SSRIs, MAOIs.",,"Antidepressants, alcohol.",,"","kana",,"Unknown","Inhibits PDE4, increases serotonin; mild SSRI-like effect.",,"Oral/sublingual; onset ~30 min; duration 2–4 hrs.",,"Unknown",,"Mild nausea, sedation.",,"Mood enhancement, anxiety.",,"Low; safe in moderate doses.",,,"kana",,,"true","https://upload.wikimedia.org/wikipedia/commons/b/b4/Sceletium_tortuosum.jpg",,,,,
"Kanna","Empathogen / Euphoriant","SSRIs, MAOIs, bipolar disorder","A South African succulent traditionally chewed or snuffed to reduce anxiety and induce euphoria.","Antidepressants, serotonergic agents","1–3 hrs","Mood lift;calm euphoria;focus","Unknown","Mild to moderate","Legal","Serotonin reuptake inhibition (mesembrine alkaloids)","15–30 min","Onset: 15–30 min; Duration: 1–3 hrs","Fermented and dried material chewed, snuffed, or made into tincture","Southern Africa","Sceletium tortuosum","Headache, nausea, serotonin syndrome (in excess or with SSRIs)","🌼 euphoric;🧘 calm;🧬 natural ssri","Anxiety, stress, social comfort","Low","Not established (safe in traditional use)",,"","kanna",,,,,,,,,
"Kava","Dissociative / Sedative","Liver conditions, alcohol, sedatives","South Pacific root brew known for its relaxing and anxiolytic effects.","CNS depressants, alcohol, liver-metabolized drugs","3–6 hrs","Relaxation;social ease;mild euphoria","kava","Mild to moderate","Legal; restricted in some EU countries","Kavalactones modulate GABA, block sodium and calcium channels","20–40 min","Onset: 20–40 min; Duration: 3–6 hrs","Pounded root mixed in water and strained","Polynesia, Micronesia, Melanesia","Piper methysticum","Liver strain (rare), drowsiness","🌿 root;🍵 social;🧘 calm","Anxiety, stress, sleep aid","Low to moderate; caution with prolonged use","~4.3 g/kg (rats, oral)","[object Object]","","kava",,,,"https://upload.wikimedia.org/wikipedia/commons/5/5c/Kava_root.jpg","2",,,,
"Khat","Stimulant / Euphoric","Heart issues, pregnancy, MAOIs.","Evergreen shrub whose fresh leaves are chewed for stimulant and euphoric effects in social settings.","Avoid with stimulants or MAOIs","3–5 hrs","Euphoria;alertness;appetite suppression","Unknown","Moderate","Illegal or controlled in many countries","Cathinone alkaloids release dopamine and norepinephrine.","15–30 min","Chewed fresh leaves; onset 15–30 min; duration 3–5 hrs.","Fresh leaves chewed slowly.","Horn of Africa, Yemen","Catha edulis","Dry mouth, increased heart rate, insomnia","⚠️ controlled;🌿 leaves","Social stimulant chewed in East Africa and the Arabian Peninsula.","Excess use leads to insomnia, hypertension, or dependency.","Cathinone LD50 ~75 mg/kg (rats)",,"","khat",,,,"https://upload.wikimedia.org/wikipedia/commons/2/28/Catha_edulis_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-088.jpg",,,,,
"Kieli","Ritual / Visionary","Pregnancy, heart issues","Rarely used solanaceous vine with powerful effects.","Anticholinergics","6–12 hrs","visions;disorientation","solandra-maxima","Unknown","Unregulated","Tropane alkaloids similar to datura","20–40 min","Likely similar to datura","Flowers brewed or smoked (hazardous)","Mexico","Solandra maxima","Severe confusion, amnesia","☠️ toxic","Visionary rituals","High","Unknown","[object Object]","","kieli",,,,,,"unknown",,,
"Klip Dagga",,"Pregnancy, psychiatric disorders.",,"Cannabis, CNS depressants.",,"","klip-dagga",,"Unknown","Similar to Wild Dagga; interacts with cannabinoid receptors.",,"Smoked or brewed; onset minutes; duration ~1–2 hours.",,"Unknown",,"Sedation, dry mouth.",,"Relaxation, mild euphoria, traditional pain relief.",,"Low; traditionally used safely.",,,"klip-dagga",,,"true","https://upload.wikimedia.org/wikipedia/commons/e/e2/Leonotis_nepetifolia_flower_3.jpg",,,,,
"Kra Thum Na / Kok","Empathogen / Euphoriant","Not well documented","Southeast Asian tree related to kratom with stimulating leaves.","Not well documented","Unknown","Stimulation;kratom-like body feel","kra-thum-na--kok","Moderate","Legal / Unregulated","Unknown","15-45 min","Not well documented","Capsule or tea","🌎 Unknown / Global","Unknown","Not well documented","☕ brewable;✅ safe;💊 oral;💫 euphoria","Not well documented","Unknown","Unknown",,"","kra-thum-na-/-kok",,,,,,,,,
"Kra Thum Na / Kok","Empathogen / Euphoriant","Not well documented","Southeast Asian tree related to kratom with stimulating leaves.","Not well documented",,"Stimulation;kratom-like body feel","kra-thum-na--kok","Moderate","Legal / Unregulated","Unknown","15-45 min","Not well documented","Capsule or tea","🌎 Unknown / Global","","Not well documented","\u2615 Brewable;\ud83d\udc8a Oral;\ud83d\udcab Euphoria;\u2705 Safe","Not well documented","Unknown","Unknown",,,"kra-thum-na-kok",,,,,"1",,,,
"Kratom","Stimulant","Opioid addiction recovery","Popular herbal stimulant and analgesic.","Opioids, depressants","3–6 hrs","euphoria;pain relief","mitragyna-speciosa","Unknown","Varies by country","Mitragynine acts on opioid receptors","10–30 min","Metabolized in liver via CYP enzymes","Dried leaf powder or tea","Southeast Asia","Mitragyna speciosa","Nausea, dependence","🌀 euphoric;💊 oral","Pain management, energy","Moderate",">400 mg/kg (rats)","[object Object]","https://www.ethnobotanicalshaman.shop/kratom","kratom",,,,"https://upload.wikimedia.org/wikipedia/commons/6/6d/Mitragyna_speciosa111.JPG",,"2–5 g leaf powder",,,
"Kratom Hybrids","Stimulant / Analgesic","Heart conditions, MAOIs","Selective breeding of kratom species for varied alkaloid ratios","Opioids and sedatives","3-5 hrs","energy;pain relief","kratom-hybrids","Unknown","Varies by region","Indole alkaloids act as partial mu-opioid agonists","15-30 min","Oral powder absorbed within 30 min","Powdered leaves brewed or capsulated","Cultivated Southeast Asia","Mitragyna speciosa hybrids","Nausea, dependency","⚠️ use caution;🍃 leaf","Pain relief, mood lift","Moderate",">200 mg/kg (rats, mitragynine)","[object Object];[object Object]","","kratom-hybrids",,,,,,"2-5 g leaf",,,
"Lactuca canadensis","Dissociative / Sedative","Sedatives, pregnancy","Wild lettuce species containing lactucarium for gentle analgesia.","CNS depressants, alcohol","3–5 hrs","Relaxation;pain relief;drowsiness","lactuca-canadensis","Mild to moderate","Legal","Mild opioid-like action via lactucin/lactucopicrin","30–60 min","Onset: 30–60 min; Duration: 3–5 hrs","Latex or leaf infusion, tincture, or smoke","North America","Lactuca canadensis","Drowsiness, GI upset at high doses","✅ safe;🌿 opium lettuce;😴 sedative","Insomnia, pain, cough relief","Low","Not established",,"","lactuca-canadensis",,,,,"1",,,,
"Wild Lettuce","Sedative / Analgesic / Nervine","Avoid in pregnancy, glaucoma, or with CNS depressants. Not for prolonged heavy use.","A tall, bitter plant sometimes called 'opium lettuce' due to its historical use for pain and sleep. It contains lactucopicrin and lactucin, compounds with mild sedative and analgesic properties. Used in Western herbalism since the 19th century.","Potentiates sedatives or alcohol.",,"Pain relief;Mild euphoria;Sedation;Calming","lactuca-virosa","Mild–Moderate","Legal worldwide","Lactucin and lactucopicrin are sesquiterpene lactones that interact with GABAergic systems and have antinociceptive properties.","30–90 min","Orally active. Onset 30–90 minutes. Effects vary depending on dose and preparation.","Dried leaves or milky sap are brewed into tea or extracted into tinctures.","Europe, North America, Asia","Lactuca virosa","May cause dizziness, nausea, or mild hallucinations at high doses. Bitter taste often deters excess use.","💤 Sedative;🌿 Analgesic;🌙 Calming;🧪 Bitter","Used for pain, insomnia, anxiety, coughing, and muscle tension. Popular in herbal tinctures and teas.","Low to moderate. High doses may cause CNS depression.","Not well documented in humans; extracts assumed safe below 500 mg/kg",,,"lactuca-virosa",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6232791/;Herbal Medicines, 4th Ed. – Barnes et al.;A Modern Herbal – Grieve","false",,,,"Wild Lettuce;Opium Lettuce","Lactucin;Lactucopicrin","Used in 19th-century medicine for pain and insomnia."
"Lagochilus inebrians","Sedative / Euphoric","None documented but caution when operating machinery","Known as intoxicating mint; produces a pleasant calm and slight euphoria when brewed.","Could potentiate other depressants","3–5 h","relaxation;mild euphoria;reduced anxiety","lagochilus-inebrians","Mild","Legal","Contains lagochilin which depresses the CNS and may interact with GABA","~30 min","Onset about 30 min orally or smoked; duration 3–5 h","Leaves brewed as tea or smoked alone or with other herbs","Central Asia","Lagochilus inebrians","Drowsiness","central asia;calming;intoxicating mint","Folk remedy in Uzbekistan and Kazakhstan for tension and insomnia","Little toxicity noted at customary doses","Not established",,"","lagochilus-inebrians",,,,,,,,,
"Lavandula angustifolia","Relaxant / Aromatic","Pregnancy large amounts","Fragrant lavender widely used for relaxation","Sedatives","1-2 hrs","calm;sleep aid","lavandula-angustifolia","Unknown","Legal","Linalool and linalyl acetate modulate GABA","15 min","Inhaled or oral","Flowers infused or essential oil inhaled","Mediterranean","Lavandula angustifolia","Rare skin irritation","🌸 aroma","Anxiety, insomnia","Low",">2 g/kg (rats, oil)","[object Object]","","lavandula-angustifolia",,,,,,"1-2 g dried or few drops oil",,,
"Lavender",,"Pregnancy (high doses), hormone-sensitive conditions.",,"Sedatives, antidepressants.",,"","lavender",,"Unknown","Linalool modulates GABA and serotonin pathways; anxiolytic and sedative.",,"Oral or aromatic; onset ~20–40 min; duration 2–4 hours.",,"Unknown",,"Drowsiness, allergic reactions.",,"Anxiety relief, sleep aid, calming effects.",,"Linalool LD50 ~2790 mg/kg (oral, rats).",,,"lavender",,,"true","https://upload.wikimedia.org/wikipedia/commons/1/14/Lavandula_angustifolia_%28Lavender%29.jpg",,,,,
"Leonotis leonurus","Ritual / Visionary","None known","Also called Wild Dagga, smoked for gentle euphoric effects.","Limited data","1-2 hrs","Mild euphoria;relaxation","leonotis-leonurus","Mild","Legal","Leonurine may act on serotonin receptors","Immediate when smoked","Smoked; onset within minutes","Dried leaves smoked","South Africa","Leonotis leonurus","Dizziness with heavy use","✅ safe;🌿 leaf;🧪 alkaloid","Traditional relaxant and ritual smoke","Low","Not established","[object Object]","","leonotis-leonurus",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3887317/;Journal of Ethnopharmacology, 2005;African Herbal Medicine Compendium","false",,,,,,
"Motherwort","Cardiotonic / Nervine / Women’s Health","Avoid in pregnancy (uterine stimulant). May slightly lower blood pressure.","A traditional European nervine used to ease tension, heart flutter, and menstrual discomfort. Known as ‘Mother’s herb’ for its supportive effects during emotional distress and hormonal fluctuations.","Caution with heart medications or sedatives.",,"Calms heart palpitations;Reduces anxiety;Uterine tonic;Regulates menstrual tension","leonurus-cardiaca","Mild","Legal worldwide","Alkaloids such as leonurine and stachydrine provide mild sedative, antispasmodic, and cardiotonic effects, possibly modulating GABA and muscarinic pathways.","30–60 min","Orally active; tinctures and teas take effect within ~30–60 min. Best used regularly for tonic effect.","Aerial parts used in teas, tinctures, or capsules. Often blended with other calming herbs.","Europe, North America, Asia","Leonurus cardiaca","Bitter taste, possible drowsiness or stomach upset in some. Generally well tolerated.","🫀 Heart support;🌸 Women’s health;🧘 Nervine;🌿 Bitter tonic","Used for PMS, menopause, anxiety, nervous heart conditions, and postpartum recovery. May support vagal tone and reduce sympathetic overdrive.","Low. Used widely in folk medicine.","Not established in humans",,,"leonurus-cardiaca",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8762752/;Herbal Medicine – Mills & Bone;British Herbal Compendium","false",,,,"Motherwort","Leonurine;Stachydrine","Used in traditional herbalism for anxiety and female reproductive support."
"Leonurus sibiricus","Calming / Dream","None known","Sometimes called Marihuanilla or Siberian motherwort, providing gentle calming effects and subtle dreaminess.","May enhance effects of other sedatives","2–4 h","mild sedation;light euphoria;dream enhancement","leonurus-sibiricus","Mild","Legal","Contains leonurine and other alkaloids that depress CNS activity","20–30 min","Onset 20–30 min when smoked or brewed; effects last 2–4 h","Leaves smoked or steeped as tea","Native to Asia, cultivated in the Americas","Leonurus sibiricus","Drowsiness at high doses","marihuanilla;mint family;sedative","Used in Latin American and Asian folk medicine for relaxation and spiritual rituals","Considered safe in moderate amounts","Not established",,"","leonurus-sibiricus","Leonurine",,"false",,,,,,
"Maca","Adaptogen / Hormonal / Nutritional","Caution in thyroid disorders due to goitrogens. Not advised in hormonal cancers without consultation.","A Peruvian root vegetable and superfood traditionally consumed to increase energy, stamina, fertility, and hormonal resilience. Grown high in the Andes, maca is revered as a nutritional tonic and endocrine modulator.","May interact with hormone therapies. Mild hypoglycemic synergy.",,"Hormone balancing;Energy boost;Libido enhancement;Mood support","lepidium-meyenii","Mild–Moderate","Legal worldwide","Contains macamides, macaenes, and glucosinolates. These influence the hypothalamic-pituitary axis, modulate neurotransmitters, and support hormonal balance without introducing phytohormones.","1–7 days (cumulative)","Absorbed orally. Peak activity depends on preparation (gelatinized vs raw). Benefits seen within days to weeks.","Traditionally sun-dried and boiled. Modern forms: raw powder, capsules, or gelatinized extracts.","Peru, Andes Mountains","Lepidium meyenii","May cause gas, thyroid suppression (in high doses/raw), or overstimulation in some.","🏋️ Energy;🧬 Endocrine;🌿 Adaptogen;💞 Libido","Used for fatigue, low libido, PMS, menopause, mood swings, and athletic endurance.","Low. Widely used as food.",">15 g/kg (rats, oral)",,,"lepidium-meyenii",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3184420/;Journal of Ethnopharmacology, 2009;Peruvian Herbal Compendium","false",,,,,,
"Lion's Mane","Other","Allergy to mushrooms, pregnancy (limited data).","Medicinal mushroom valued for promoting nerve growth and mental clarity.","No major interactions documented.",,"Neurotrophic support;cognitive enhancement","lions-mane","Mild","Legal / Unregulated","Hericenones and erinacines stimulate nerve growth factor.","Days to weeks","Benefits accumulate with regular use over weeks.","Cooked, tea, or capsule","🇨🇳 East Asia","Hericium erinaceus","Rare allergic reactions; generally well-tolerated.","\ud83d\udc8a Oral;\ud83e\udde0 Cognitive;\u2705 Safe","Memory, focus, nerve regeneration, mood support.","Low toxicity; consumed as food in many cultures.","Not established; considered safe.",,,"lion-s-mane",,,,,"1",,,,
"Lion’S Tail",,"Pregnancy, psychiatric conditions.",,"Cannabis, CNS depressants.",,"","lion-s-tail",,"Unknown","Acts on cannabinoid receptors; may offer sedative and euphoric effects.",,"Smoked or brewed; onset within minutes; duration 1–2 hours.",,"Unknown",,"Dry mouth, sedation.",,"Anxiety relief, mood boost, mild pain relief.",,"Low; safe in traditional use.",,,"lion-s-tail",,,"true","https://upload.wikimedia.org/wikipedia/commons/1/14/Leonotis_leonurus_flower.jpg",,,,,
"Lobelia inflata","Respiratory / Nervine / Strong Medicinal","Avoid in pregnancy, with heart disease, or alongside strong sedatives. Use cautiously.","A powerful respiratory herb used by Native Americans and Western herbalists to aid breathing, reduce asthma spasms, and stimulate detoxification. Sometimes called ‘the thinking herb’ for its clarity-inducing effects.","Potentiates sedatives or respiratory stimulants.",,"Bronchodilation;Muscle relaxation;Emetic (high dose);Stimulates breath","lobelia-inflata","Moderate–Strong","Legal with caution","Contains lobeline, a nicotinic acetylcholine receptor partial agonist that stimulates respiration and clears airways. Also acts as a relaxant in low doses.","15–45 min","Orally or topically active. Rapid onset (~15–45 min). Strong dose-dependent effects.","Tincture, dried herb, or tea in small amounts. Strong taste. Often combined with warming expectorants.","North America","Lobelia inflata","Nausea, vomiting, salivation, dizziness, or tingling. Overdose may cause respiratory distress.","🌬️ Respiratory;🫁 Bronchodilator;⚠️ Low dose only;🌿 Native American use","Used for asthma, bronchitis, whooping cough, tension, and as a smoke cessation aid. In high doses, historically used to induce vomiting in detox protocols.","Moderate to high in excess. Use under guidance.","~0.6 g/kg lobeline in animals (est.)",,,"lobelia-inflata",,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4119142/;American Herbal Pharmacopoeia – Lobelia;Materia Medica – Eclectic School","false",,,,,,
