Name,Scientificname,Region,Description,Effects,Mechanismofaction,Therapeuticuses,Sideeffects,Contraindications,Druginteractions,Toxicity,Legalstatus,Preparation,Onset,Intensity,Sources,Activecompounds,name_norm
Teucrium chamaedrys,Teucrium chamaedrys L.,Southern Europe,"Wall Germander, historically used for digestive issues and fevers; hepatotoxicity restricts use.","Digestive stimulant, anti-inflammatory",Terpenoids stimulate bile flow; can cause hepatotoxicity,"Dyspepsia, gout (historical)","Liver toxicity, nausea","Liver disease, pregnancy",Hepatotoxic drugs,High (internal use),Restricted (banned in many countries),"Formerly used as tea, now discouraged",,Low,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4627033/,"Teucrin A, diterpenes",teucrium chamaedrys
Theobroma bicolor,Theobroma bicolor Humb. & Bonpl.,Central America,Cousin of cacao used in traditional Mesoamerican drinks; mild stimulant and mood-enhancer.,"Energizing, mood-boosting",Theobromine and flavonoids increase dopamine and adenosine inhibition,"Fatigue, low mood, cognitive support","Insomnia, palpitations (high dose)","Caffeine sensitivity, heart issues","Stimulants, beta blockers",Low,Legal,"Roasted seed drinks, similar to cacao",15–30 minutes,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9540994/,"Theobromine, catechins, alkaloids",theobroma bicolor
Thevetia peruviana,Thevetia peruviana (Pers.) K. Schum.,"Central and South America, West Africa",Ornamental and ritualistic plant with powerful cardiac glycosides; sometimes used in poison rituals.,"Nausea, hallucinations, delirium, arrhythmia",Thevetin and nerifolin affect sodium-potassium ATPase,None safely recommended internally; seeds used topically in some traditions,"Severe cardiotoxicity, vomiting, visual disturbances",All internal use is contraindicated,"Digitalis, diuretics",Extreme,Legal with caution,Topical or symbolic ritual use,Fast (if ingested),Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5758359/,"Thevetin A/B, neriifolin",thevetia peruviana
Thymus vulgaris,Thymus vulgaris L.,Mediterranean,Common thyme; culinary herb and medicinal plant used for respiratory and antimicrobial support.,"Antiseptic, expectorant, antispasmodic",Thymol and carvacrol disrupt microbial membranes,"Cough, bronchitis, sore throat","GI irritation, allergic reactions","Pregnancy (essential oil), bleeding disorders",Anticoagulants,"Low (culinary), Moderate (oil)",Legal,"Tea, essential oil, tincture",Within 1 hour,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6149055/,"Thymol, carvacrol, flavonoids",thymus vulgaris
Tragia involucrata,Tragia involucrata L.,"India, Southeast Asia",Used in Siddha and Ayurveda for nervous disorders; known to produce tingling or mild CNS activation.,"Stimulating, tingling sensation, anti-fatigue",Alkaloids and flavonoids may stimulate peripheral nerves and CNS,"Arthritis, asthma, neurological conditions","Tingling, local irritation, itching",Unknown,Unknown,Low,Legal,"Infusion, leaf paste, oral decoction","15–30 minutes (topical), oral unknown",Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3410200/,"Flavonoids, alkaloids, sterols",tragia involucrata
Trichilia catigua,Trichilia catigua A.Juss.,Brazil,Catuaba; stimulant and aphrodisiac used in Brazilian herbalism for fatigue and libido enhancement.,"Stimulation, euphoria, increased libido",Catechins and alkaloids affect dopamine and noradrenaline,"Fatigue, depression, erectile dysfunction","Insomnia, agitation (in excess)",Hypertension,"Stimulants, antidepressants",Low,Legal,"Tincture, tea",30–60 minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5465813/,"Catuabine, cinchonain, flavonoids",trichilia catigua
Trichocereus bridgesii,Echinopsis lageniformis (F.A.C.Weber) H.Friedrich & G.D.Rowley,"Andes (Bolivia, Peru)",A mescaline-rich cactus used in Andean spiritual traditions similar to San Pedro.,"Psychedelic, empathogenic, visual enhancement",Mescaline stimulates serotonin 5-HT2A receptors,"Ritual healing, introspection, possible antidepressant","Nausea, anxiety, dizziness","Heart conditions, psychiatric vulnerability","SSRIs, MAOIs, stimulants",Moderate,Legal to cultivate; mescaline is controlled,Decoction of cactus flesh or raw chewing,1–2 hours,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8892482/,"Mescaline, tyramine, hordenine",trichocereus bridgesii
Trifolium pratense,Trifolium pratense L.,"Europe, Asia, North America",Red clover; traditional herb for menopause symptoms and cardiovascular health.,"Phytoestrogenic, anti-inflammatory",Isoflavones modulate estrogen receptors,"Menopausal symptoms, osteoporosis, cardiovascular support","Headache, breast tenderness",Hormone-sensitive conditions,"Hormonal therapies, anticoagulants",Low,Legal,"Tea, capsules, tincture",Days to weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6256944/,"Genistein, daidzein, biochanin A",trifolium pratense
Turbina corymbosa,Turbina corymbosa (L.) Raf.,"Mexico, Central America","Closely related to Rivea corymbosa, also used by Aztecs; LSA-containing visionary seed.","Visuals, euphoria, sedation","Ergoline alkaloids (LSA, ergometrine) act on serotonin receptors","Spiritual insight, altered states","Nausea, vertigo","Schizophrenia, MAOI use",Serotonergic substances,Moderate,"Legal plant, seeds regulated in some countries",Cold water infusion of crushed seeds,45–90 min,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6332244/,"LSA, ergometrine, chanoclavine",turbina corymbosa
Turnera diffusa,Turnera diffusa Willd. ex Schult.,"Mexico, Central America",Damiana; traditionally used as an aphrodisiac and nerve tonic.,"Aphrodisiac, antidepressant, anxiolytic",Modulates serotonin and GABAergic pathways,"Anxiety, libido, sexual dysfunction","Insomnia, tachycardia (high doses)","Pregnancy, bipolar disorder","SSRIs, MAOIs",Low,Legal,"Tea, tincture, capsules",1–2 hours,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7574364/,"Damianin, arbutin, flavonoids",turnera diffusa
Tussilago farfara,Tussilago farfara L.,"Europe, Asia",Coltsfoot; used for respiratory issues but contains hepatotoxic alkaloids.,"Expectorant, antitussive, anti-inflammatory",Polysaccharides soothe mucosa; alkaloids are hepatotoxic,"Cough, bronchitis, sore throat","Liver toxicity (internal, long-term)","Liver disease, pregnancy",Hepatotoxic drugs,Moderate to high (internal),Restricted (depending on region),"Tea (regulated), syrup",1–3 hours,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7384397/,"Mucilage, pyrrolizidine alkaloids, flavonoids",tussilago farfara
Tynanthus panurensis,Tynanthus panurensis (Bureau) Sandwith,"Amazon Basin (Brazil, Peru, Colombia)",Known as 'clavo huasca'; used as an aphrodisiac and stimulant in folk medicine.,"Mood uplift, stimulation, mild euphoria",Volatile oils and tannins may act on dopaminergic and endocrine systems,"Aphrodisiac, anti-inflammatory, digestive aid",Mild stomach upset,Pregnancy (traditional avoidance),Unknown,Low,Legal,Bark maceration in alcohol,30–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8874393/,"Essential oils, tannins, eugenol-like compounds",tynanthus panurensis
Uncaria tomentosa,Uncaria tomentosa (Willd. ex Schult.) DC.,Amazon rainforest,Cat's Claw; immune-enhancing and anti-inflammatory rainforest vine.,"Immunomodulatory, anti-inflammatory, antioxidant",Oxindole alkaloids modulate cytokine expression,"Arthritis, immune support, viral infections","Dizziness, nausea","Pregnancy, autoimmune disease","Immunosuppressants, anticoagulants",Low,Legal,"Decoction, extract, capsule",Days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6266235/,"Mitraphylline, rhynchophylline, proanthocyanidins",uncaria tomentosa
Urtica dioica,Urtica dioica L.,"Europe, Asia, North America","Stinging Nettle; nutrient-rich herb used for allergies, prostate issues, and joint pain.","Anti-inflammatory, diuretic, antihistamine","Histamine modulation, prostaglandin inhibition","Allergies, BPH, arthritis","Stomach upset, skin irritation (fresh leaves)","Pregnancy, kidney conditions","Diuretics, antihypertensives",Low,Legal,"Tea, extract, soup, capsules",1–3 days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6330525/,"Histamine, flavonoids, scopoletin",urtica dioica
Usnea barbata,Usnea barbata (L.) Weber ex F.H. Wigg.,"Europe, Asia, North America",Old Man's Beard; lichen with potent antimicrobial and antifungal activity.,"Antibacterial, antifungal, antiviral",Usnic acid disrupts bacterial energy production,"Skin infections, respiratory infections","Liver toxicity (high doses), skin irritation",Liver disease,Hepatotoxic drugs,Moderate,Legal (regulated in some countries),"Tincture, poultice",1–2 days,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833525/,"Usnic acid, polyphenols, lichen acids",usnea barbata
Valeriana officinalis,Valeriana officinalis L.,"Europe, Asia",Valerian; widely used as a sedative and sleep aid.,"Sedative, anxiolytic, antispasmodic",Increases GABA availability at synapses,"Insomnia, anxiety, muscle spasms","Drowsiness, headache, vivid dreams","CNS depression, pregnancy","CNS depressants, alcohol",Low,Legal,"Root extract, tea, capsules",30–90 minutes,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4394901/,"Valerenic acid, isovaleric acid",valeriana officinalis
Verbascum thapsus,Verbascum thapsus L.,"Europe, Asia, Americas",Mullein; traditional remedy for respiratory ailments and ear infections.,"Expectorant, demulcent, anti-inflammatory","Mucilage soothes tissues, saponins promote mucus clearance","Bronchitis, cough, ear infections",Rare allergic reactions,None known (normal doses),None significant,Low,Legal,"Leaf tea, flower oil, capsules",Hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7277479/,"Mucilage, saponins, flavonoids",verbascum thapsus
Veronicastrum virginicum,Veronicastrum virginicum (L.) Farw.,North America,Culver’s root; traditional bitter tonic and laxative used for liver and bowel support.,"Cholagogue, laxative, bitter tonic",Stimulates bile secretion and intestinal motility,"Constipation, sluggish liver, indigestion","Nausea, vomiting (high dose)","Pregnancy, GI inflammation","Laxatives, diuretics",Moderate,Legal,"Root decoction, tincture",Within hours,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10914299/,"Iridoids, tannins, resins",veronicastrum virginicum
Viburnum opulus,Viburnum opulus L.,"Europe, North America",Cramp bark; used for smooth muscle spasms and menstrual cramps.,"Antispasmodic, sedative",Relaxation of uterine and intestinal muscles,"Menstrual cramps, GI spasms, hypertension",Nausea (high doses),Pregnancy (high doses),"Sedatives, antihypertensives",Low,Legal,"Bark decoction, capsules",1–2 hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6361296/,"Valerianic acid, viburnin, coumarins",viburnum opulus
Vinca minor,Vinca minor L.,Europe,Lesser periwinkle; used for improving cerebral circulation and cognitive decline.,"Cerebral vasodilator, neuroprotective",Alkaloids modulate calcium channels and increase blood flow to brain,"Memory loss, vertigo, poor circulation","GI distress, low blood pressure","Pregnancy, bleeding disorders","Anticoagulants, antihypertensives",Moderate,Regulated in some countries,"Extract, tablets",Days to weeks,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352695/,"Vincamine, vincine, alkaloids",vinca minor
Viola odorata,Viola odorata L.,"Europe, Asia",Sweet violet; demulcent herb used for coughs and inflammation.,"Expectorant, anti-inflammatory, mild sedative",Mucilage coats mucous membranes; salicylates reduce inflammation,"Coughs, sore throat, skin rashes",None common at normal doses,None known,None significant,Low,Legal,"Infusion, syrup, poultice",Within hours,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3227345/,"Mucilage, salicylates, flavonoids",viola odorata
Virola sebifera,Virola sebifera Aubl.,"Amazon (Venezuela, Colombia, Brazil)",Tree resin used in Yopo-style snuff for potent tryptamine effects in South American shamanism.,"Intense hallucinations, time distortion, body disconnection",Bufotenine and DMT-like compounds bind to serotonin receptors,"Spiritual healing, psychological insight","Nausea, agitation, dizziness","Heart problems, psychiatric conditions","MAOIs, SSRIs, CNS stimulants",Moderate,Varies (DMT-related regulation),Resin dried and powdered into snuff (epéna),1–5 min (intranasal),Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8021063/,"Bufotenine, DMT, 5-MeO-DMT",virola sebifera
Virola spp.,"Virola theiodora, Virola calophylla, etc.","Amazon (Colombia, Peru, Brazil)",Virola trees produce DMT-rich resins traditionally used in hallucinogenic snuffs.,"Intense visual hallucinations, spiritual visions",Tryptamines act on 5-HT2A receptors,Shamanic use only; ceremonial cleansing,"Vomiting, tremors, confusion","Psychiatric disorders, pregnancy","MAOIs, serotonergic substances",High (in large quantities),DMT is controlled in most regions,"Bark resin dried, powdered, and blown nasally",Within minutes,Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8956605/,"DMT, 5-MeO-DMT, beta-carbolines",virola spp.
Virola theiodora,Virola theiodora (Spruce ex Benth.) Warb.,"Amazon (Brazil, Colombia)",Tree used to make hallucinogenic snuff by Yanomami; contains powerful tryptamines.,"Visual hallucinations, intense inner experiences",DMT and 5-MeO-DMT act on 5-HT2A receptors,"Shamanic healing, ancestral communication","Nausea, anxiety, tachycardia","Heart problems, psychiatric illness","MAOIs, SSRIs",Moderate to high,Controlled in some regions,Bark resin dried and inhaled as snuff,5–10 minutes (snuff),Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8797986/,"DMT, 5-MeO-DMT, tryptamines",virola theiodora
Vitex agnus-castus,Vitex agnus-castus L.,"Mediterranean, Western Asia","Traditionally used for PMS, fertility, and mood balancing; may modulate dopamine.","Mood regulation, calming, hormonal support",Diterpenes and flavonoids affect dopamine D2 and opioid receptors,"Menstrual disorders, anxiety, mood swings","GI upset, dry mouth","Pregnancy, hormone-sensitive conditions",Dopaminergic and hormonal meds,Low,Legal,Berry tincture or capsule,Days to weeks (accumulative),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3800124/,"Agnuside, flavonoids, diterpenes",vitex agnus-castus
Voacanga africana,Voacanga africana Stapf,West and Central Africa,"Alkaloid-rich plant used for CNS stimulation, spiritual rituals, and precursor to ibogaine.","Stimulant, entheogen, cognitive enhancer",Voacangine and iboga alkaloids act on serotonin and dopamine systems,"Depression, fatigue, psychoactive rituals","Nausea, tremors, heart palpitations","Heart issues, pregnancy, psychiatric conditions","Stimulants, antidepressants, antipsychotics",Moderate to high,Unregulated (some regions restrict extraction),"Seed or bark extract, usually ceremonial",1–2 hours,High,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7458360/,"Voacangine, ibogamine, coronaridine",voacanga africana
Withania somnifera,Withania somnifera (L.) Dunal,"India, Middle East, North Africa",Ashwagandha; a key adaptogen used to manage stress and boost vitality.,"Adaptogenic, anxiolytic, immunomodulatory",Withanolides modulate stress response pathways and GABA receptors,"Stress, anxiety, fatigue, cognitive decline","GI upset, drowsiness","Pregnancy, hyperthyroidism","Sedatives, thyroid meds",Low,Legal,"Root powder, capsules, extract",1–2 weeks,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6979308/,"Withanolides, alkaloids, sitoindosides",withania somnifera
Xanthium strumarium,Xanthium strumarium L.,"North America, Asia, Europe",Common cocklebur; traditionally used in sinus and allergy remedies.,"Decongestant, anti-inflammatory",Inhibits histamine release and inflammatory cytokines,"Sinusitis, rhinitis, allergies","Nausea, hepatotoxicity (unprocessed)","Pregnancy, liver conditions",Hepatotoxic drugs,Moderate to high (unprocessed),Legal (processed forms),"Processed seed extracts, decoction",1–2 days,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020001/,"Xanthatin, sesquiterpene lactones",xanthium strumarium
Yucca schidigera,Yucca schidigera Roezl ex Ortgies,"Southwestern USA, Mexico",Desert plant used for inflammation and arthritis.,"Anti-arthritic, anti-inflammatory, detoxifying",Saponins and polyphenols inhibit inflammatory pathways,"Arthritis, high cholesterol, inflammation",GI upset,"Pregnancy, kidney disease","Diuretics, antihypertensives",Low,Legal,"Powder, extract, juice",Days,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3757833/,"Saponins, resveratrol, polyphenols",yucca schidigera
Zanthoxylum clava-herculis,Zanthoxylum clava-herculis L.,Southeastern USA,Southern prickly ash; traditional stimulant and remedy for toothache and rheumatism.,"Stimulant, analgesic, sialogogue",Alkaloids and lignans act on nerve endings and pain receptors,"Toothache, sore throat, rheumatism","Tingling, mouth numbness",Pregnancy,None significant,Low,Legal,"Bark tincture, infusion",Immediate (topical),Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7488542/,"Limonene, magnoflorine, lignans",zanthoxylum clava-herculis
Zingiber officinale,Zingiber officinale Roscoe,Asia; cultivated globally,"Ginger root, used in cuisine and medicine for centuries.","Anti-inflammatory, antiemetic, carminative, antioxidant",Inhibits COX and LOX enzymes; modulates serotonin receptors in GI tract,"Nausea, arthritis, digestion, inflammation","Heartburn, bloating, mouth irritation","Bleeding disorders, gallstones","Anticoagulants, antidiabetics",Low,Legal,"Tea, capsules, fresh or dried root",20–60 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3665023/,"Gingerol, shogaol, paradol",zingiber officinale
Zornia latifolia,Zornia latifolia Sm.,South America,Mild sedative and traditional calming herb; sometimes used as a cannabis substitute.,"Sedative, mild euphoria",Unknown; suspected to modulate GABA and serotonin pathways,"Anxiety, relaxation, ceremonial smoking","Drowsiness, dry mouth (rare)","Pregnancy, operating machinery",CNS depressants,Low,Legal,"Smoked, or made into infusion",15–30 minutes,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7659606/,"Flavonoids, alkaloids (unknown profile)",zornia latifolia
Piptadenia peregrina,Piptadenia peregrina (L.) Benth.,"Amazon Basin (Venezuela, Brazil)",Source of yopo snuff used in indigenous rituals; contains powerful tryptamines.,"Rapid visual hallucinations, euphoria, time distortion",DMT and bufotenine activate 5-HT2A serotonin receptors,"Shamanic healing, trauma processing (traditional)","Nausea, respiratory irritation","MAOIs, psychiatric instability","SSRIs, stimulants, sedatives",Moderate,Restricted (contains DMT and bufotenine),Powdered seed snuff (often mixed with alkaline ash),"1–5 min (snuff), 15–30 min (oral with MAOI)",Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8021063/,"Bufotenine, DMT, 5-MeO-DMT",
Maerua angolensis,Maerua angolensis DC.,Sub-Saharan Africa,Traditional African herb with spiritual and psychoactive use in ceremonies and trance rituals.,"Altered consciousness, mental clarity, physical vitality",Unknown; likely alkaloid-mediated CNS effects,"Anti-inflammatory, fever, spiritual initiation",Unknown; possibly mild sedation,Unstudied in pregnancy or CNS disease,Unknown,Unknown; presumed low with traditional use,Legal,Root or bark decoction,30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968324/,"Terpenoids, flavonoids, alkaloids",
Pandanus tectorius,Pandanus tectorius Sol. ex Parkins.,"Oceania, Pacific Islands",Sacred plant used by Polynesian and Micronesian cultures; psychoactive potential in select parts.,"Mental stimulation, euphoria, vivid dreams","Unknown, possible monoamine modulation","Fatigue, spiritual dreaming, stomach issues",Unverified; rare in ethnomedical use,Unknown,Unknown,Low (edible fruit); psychoactive parts not fully studied,Legal,"Leaves smoked, root decoctions",30–45 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6971797/,"Phenolics, flavonoids",
Lobelia tupa,Lobelia tupa L.,"Chile, South America","Known as 'Devil’s Tobacco', historically used as a hallucinogen and analgesic by Mapuche shamans.","Euphoria, altered perception, lightheadedness",Lobeline interacts with dopamine and nicotinic receptors,"Pain, sexual stimulant, asthma","Nausea, hypotension, dizziness","Pregnancy, cardiovascular conditions","Nicotine, antihypertensives",Moderate,Legal,Dried leaves smoked or decocted,5–15 min,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5579640/,"Lobeline, piperidine alkaloids",
Duboisia hopwoodii,Duboisia hopwoodii F.Muell.,Australia,"Traditionally used by Aboriginal Australians in pituri, a psychoactive chewing mix.","Stimulation, alertness, euphoria",Nicotine and nornicotine agonize nicotinic acetylcholine receptors,"Stimulant, fatigue relief (traditional)","Nausea, anxiety, hypertension","Heart issues, CNS sensitivity","Nicotine, stimulants, beta-blockers",Moderate to high (dose-dependent),Regulated in some regions,Leaves chewed with ash (pituri),10–20 min,Moderate to strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6104206/,"Nicotine, nornicotine",
Alchornea floribunda,Alchornea floribunda Müll.Arg.,Central & West Africa,Used in Iboga-like initiation rituals; root bark considered psychoactive and aphrodisiac.,"Stimulant, altered cognition, aphrodisiac",Unknown; possibly alkaloid effects on monoamine pathways,"Fertility, stimulant, ceremonial use",Unknown; mild nausea reported,Unknown,Unknown,Low to moderate,Legal,Root bark chewed or decocted,30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7665055/,"Triterpenes, alkaloids",
Heimia myrtifolia,Heimia myrtifolia Cham. & Schltdl.,"South America (Argentina, Brazil)",Closely related to Heimia salicifolia; traditionally used for altered states and mild auditory hallucinations.,"Auditory distortion, mental clarity, mild relaxation",Alkaloids may modulate GABA or NMDA receptors,"Fever, nervous conditions (folk medicine)","Dry mouth, mild drowsiness",Unknown; caution in pregnancy,Unknown,Low,Legal,Leaves steeped as tea or fermented infusion,30–45 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9635854/,"Cryogenine, lythrine, heimidine",
Tabernaemontana africana,Tabernaemontana africana Hook.,Tropical West Africa,Used in traditional medicine and shamanic rites; contains iboga-type alkaloids with CNS activity.,"CNS stimulation, dream enhancement, introspection",Indole alkaloids modulate dopamine and serotonin systems,"Wound healing, pain relief, spiritual rituals","Mild disorientation, dizziness","Pregnancy, cardiovascular conditions","MAOIs, CNS depressants",Moderate (dose-dependent),Legal (monitor alkaloid content),"Root or bark extracts, infusions",30–60 min,Moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8803432/,"Ibogamine-type alkaloids, voacangine",
Desmodium adscendens,Desmodium adscendens (Sw.) DC.,"West Africa, South America",Traditional remedy for asthma and spiritual purification; believed to enhance dreams.,"Mental clarity, muscle relaxation, subtle dream enhancement",Flavonoids and alkaloids affect inflammatory and serotonergic pathways,"Asthma, epilepsy, muscle spasms",Rare; mild GI effects,Unknown; caution in liver disorders,"CNS depressants, antiepileptics",Low,Legal,Leaf decoctions or extracts,45–90 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6429271/,"Triterpenes, alkaloids, flavonoids",
Calliandra haematocephala,Calliandra haematocephala Hassk.,Tropical South America,Used traditionally in some tribal settings for mild calming effects and focus.,"Mild mental clarity, relaxation",Possible alkaloid action; limited evidence,"Anxiety, focus enhancement (folk use)",Unknown; generally considered safe,Unknown,Unknown,Low,Legal,Leaves or bark infusions,30–60 min,Mild,Ethnobotanical references (no modern pharmacology),"Flavonoids, alkaloids (unconfirmed)",
Byrsonima crassifolia,Byrsonima crassifolia (L.) Kunth,Central and South America,Fruits used in ritual beverages for uplifting mood; seeds speculated to have CNS effects.,"Mood elevation, euphoria",Polyphenols may influence monoamines,"Depression, digestive aid",Stomach upset in high doses,Unknown,Antidepressants (hypothetical),Low,Legal,Fruit fermented or boiled,60+ min,Mild,Traditional use sources,"Tannins, polyphenols",
Salvia dorrii,Salvia dorrii (Kellogg) Abrams,North American deserts,Aromatic sage used by Native Americans for trance and vision quests.,"Mental clarity, dream enhancement, mild euphoria",Terpenes and volatile oils influence CNS,"Coughs, spiritual ceremonies",Rare; throat dryness,Unknown,Unknown,Low,Legal,Smoked or used in incense,"Immediate (smoked), 30 min (tea)",Mild,Ethnobotany journals,"Essential oils, terpenes",
Psychotria viridis,Psychotria viridis Ruiz & Pav.,Amazon rainforest,Key ingredient in Ayahuasca; rich in DMT; central to Amazonian shamanic traditions.,"Intense visuals, spiritual insight, ego dissolution",DMT activates 5-HT2A receptors; orally active with MAOIs,"Trauma healing, depression, addiction","Nausea, vomiting, psychological intensity","MAOI interactions, psychiatric disorders","MAOIs, SSRIs",Moderate (with MAOI risk),Controlled (DMT-containing),Boiled with Banisteriopsis caapi in Ayahuasca,20–40 min,Strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9328790/,DMT,
Ilex paraguariensis,Ilex paraguariensis A.St.-Hil.,"South America (Paraguay, Brazil, Argentina)",Used in social and ritual tea (mate); stimulant and mood enhancer.,"Mental stimulation, alertness, appetite suppression",Caffeine and theobromine act on adenosine receptors,"Fatigue, weight loss, mental focus","Insomnia, palpitations","Heart issues, pregnancy (high doses)","Stimulants, MAOIs",Low,Legal,Infusion (mate),15–30 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7891697/,"Caffeine, theobromine, chlorogenic acids",
Bursera graveolens,Bursera graveolens (Kunth) Triana & Planch.,"South America (Peru, Ecuador)",Known as Palo Santo; burned in rituals for purification and trance induction.,"Mental clarity, calming, trance states (aromatic)",Essential oils modulate limbic and olfactory systems,"Anxiety, spiritual cleansing",Mild respiratory irritation (smoke),Asthma (smoke sensitivity),Unknown,Low,Legal (regulated harvesting),Burned wood or essential oil,Immediate (inhaled),Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8525153/,"Limonene, α-terpineol, carvone",
Aniseia martinicensis,Aniseia martinicensis (Jacq.) Choisy,"Africa, Asia, South America",Used as a traditional tranquilizer and for dream enhancement in West Africa.,"Relaxation, vivid dreams",Likely flavonoid or alkaloid CNS modulation,"Sleep aid, dream enhancement","Drowsiness, mild GI upset",Unknown,Sedatives,Low,Legal,"Leaf decoctions, infusions",30–60 min,Mild,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9373370/,"Flavonoids, alkaloids",
Aconitum ferox,Aconitum ferox Wall. ex Ser.,"Himalayas (India, Nepal, Bhutan)",Extremely toxic plant used traditionally in Tibetan medicine in highly diluted forms; used to induce trance states by experienced shamans.,"Numbness, altered state, paralysis at high doses",Blocks sodium channels; modulates CNS signals,"Arthritis, neuralgia (with extreme caution)","Nausea, bradycardia, paralysis, death",All unsupervised use; cardiac conditions,"Cardiac medications, CNS depressants",Very high,Controlled or banned in many regions,Detoxified root in microdoses,15–30 min,Very strong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5030512/,"Pseudoaconitine, aconitine",
Nardostachys jatamansi,Nardostachys jatamansi DC.,"Himalayas (India, Nepal, Bhutan)",Aromatic root used for calming and sleep; sacred herb for dream and healing rituals.,"Sedation, calmness, dream enhancement",GABAergic potentiation via valerenic acid-like activity,"Insomnia, stress, epilepsy","Drowsiness, hypotension","Pregnancy, CNS depressant use","Benzodiazepines, alcohol",Low,Legal,"Powder, root decoction, tincture",30–60 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8308212/,"Jatamansone, nardosinone",
Acacia phlebophylla,Acacia phlebophylla F.Muell.,"Victoria Alps, Australia",Rare tree with high DMT content in leaves; used in visionary Aboriginal rites.,"Intense visuals, spiritual insights (when extracted)",DMT acts on serotonin receptors (5-HT2A),Spiritual healing (non-clinical),"Disorientation, anxiety, nausea","Psychosis, heart conditions",MAOIs,High if misused,Protected species; DMT controlled,Extracts smoked (ethnobotanical use),2–5 min (smoked),Very strong,Ethnobotanical references (DMT content confirmed),DMT,
Sceletium expansum,Sceletium expansum L.,South Africa (Namaqualand),"Close relative of Sceletium tortuosum (Kanna); used for calming, focus, and mild euphoria.","Euphoria, reduced anxiety, mental clarity",Inhibits PDE4 and reuptake of serotonin,"Anxiety, depression","Dry mouth, headache",SSRI use,"SSRIs, MAOIs",Low,Legal,Fermented leaf chewed or brewed,15–30 min,Mild to moderate,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8207534/,"Mesembrine, mesembrenone",
