id,common,scientific,category,intensity,region,legalstatus,description,effects,mechanismofaction,compound,tags,interactions,contraindications,dosage,therapeutic,safety,sideeffects,toxicity,toxicity_ld50,is_controlled_substance,sources
leonotis-leonurus,,Leonotis leonurus,ritual / visionary,Mild,south africa,Legal,"also called wild dagga, smoked for gentle euphoric effects.",Mild euphoria;relaxation,Leonurine may act on serotonin receptors,,✅ safe;🌿 leaf;🧪 alkaloid,limited data,none known,,traditional relaxant and ritual smoke,,dizziness with heavy use,Low,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3887317/;Journal of Ethnopharmacology, 2005;African Herbal Medicine Compendium"
leonurus-cardiaca,Motherwort,Leonurus cardiaca,cardiotonic / nervine / women’s health,Mild,"europe, north america, asia",Legal worldwide,"a traditional european nervine used to ease tension, heart flutter, and menstrual discomfort. known as ‘mother’s herb’ for its supportive effects during emotional distress and hormonal fluctuations.",Calms heart palpitations;Reduces anxiety;Uterine tonic;Regulates menstrual tension,"Alkaloids such as leonurine and stachydrine provide mild sedative, antispasmodic, and cardiotonic effects, possibly modulating GABA and muscarinic pathways.",Leonurine;Stachydrine,🫀 heart support;🌸 women’s health;🧘 nervine;🌿 bitter tonic,caution with heart medications or sedatives.,avoid in pregnancy (uterine stimulant). may slightly lower blood pressure.,,"used for pms, menopause, anxiety, nervous heart conditions, and postpartum recovery. may support vagal tone and reduce sympathetic overdrive.",,"bitter taste, possible drowsiness or stomach upset in some. generally well tolerated.",Low. Used widely in folk medicine.,Not established in humans,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8762752/;Herbal Medicine – Mills & Bone;British Herbal Compendium
leonurus-sibiricus,,Leonurus sibiricus,calming / dream,Mild,"native to asia, cultivated in the americas",Legal,"sometimes called marihuanilla or siberian motherwort, providing gentle calming effects and subtle dreaminess.",mild sedation;light euphoria;dream enhancement,Contains leonurine and other alkaloids that depress CNS activity,Leonurine,marihuanilla;mint family;sedative,may enhance effects of other sedatives,none known,,used in latin american and asian folk medicine for relaxation and spiritual rituals,,drowsiness at high doses,Considered safe in moderate amounts,Not established,false,
lepidium-meyenii,,Lepidium meyenii,adaptogen / hormonal / nutritional,Mild–Moderate,"peru, andes mountains",Legal worldwide,"a peruvian root vegetable and superfood traditionally consumed to increase energy, stamina, fertility, and hormonal resilience. grown high in the andes, maca is revered as a nutritional tonic and endocrine modulator.",Hormone balancing;Energy boost;Libido enhancement;Mood support,"Contains macamides, macaenes, and glucosinolates. These influence the hypothalamic-pituitary axis, modulate neurotransmitters, and support hormonal balance without introducing phytohormones.",,🏋️ energy;🧬 endocrine;🌿 adaptogen;💞 libido,may interact with hormone therapies. mild hypoglycemic synergy.,caution in thyroid disorders due to goitrogens. not advised in hormonal cancers without consultation.,,"used for fatigue, low libido, pms, menopause, mood swings, and athletic endurance.",,"may cause gas, thyroid suppression (in high doses/raw), or overstimulation in some.",Low. Widely used as food.,">15 g/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3184420/;Journal of Ethnopharmacology, 2009;Peruvian Herbal Compendium"
lions-mane,,Hericium erinaceus,other,Mild,🇨🇳 east asia,Legal / Unregulated,medicinal mushroom valued for promoting nerve growth and mental clarity.,Neurotrophic support;cognitive enhancement,Hericenones and erinacines stimulate nerve growth factor.,,\ud83d\udc8a oral;\ud83e\udde0 cognitive;\u2705 safe,no major interactions documented.,"allergy to mushrooms, pregnancy (limited data).",,"memory, focus, nerve regeneration, mood support.",1,rare allergic reactions; generally well-tolerated.,Low toxicity; consumed as food in many cultures.,Not established; considered safe.,false,
lion-s-tail,,,none,unknown,unknown,Unknown,none,,Acts on cannabinoid receptors; may offer sedative and euphoric effects.,,none,"cannabis, cns depressants.","pregnancy, psychiatric conditions.",,"anxiety relief, mood boost, mild pain relief.",,"dry mouth, sedation.",,Low; safe in traditional use.,false,
lobelia-inflata,,Lobelia inflata,respiratory / nervine / strong medicinal,Moderate–Strong,north america,Legal with caution,"a powerful respiratory herb used by native americans and western herbalists to aid breathing, reduce asthma spasms, and stimulate detoxification. sometimes called ‘the thinking herb’ for its clarity-inducing effects.",Bronchodilation;Muscle relaxation;Emetic (high dose);Stimulates breath,"Contains lobeline, a nicotinic acetylcholine receptor partial agonist that stimulates respiration and clears airways. Also acts as a relaxant in low doses.",,🌬️ respiratory;🫁 bronchodilator;⚠️ low dose only;🌿 native american use,potentiates sedatives or respiratory stimulants.,"avoid in pregnancy, with heart disease, or alongside strong sedatives. use cautiously.",,"used for asthma, bronchitis, whooping cough, tension, and as a smoke cessation aid. in high doses, historically used to induce vomiting in detox protocols.",,"nausea, vomiting, salivation, dizziness, or tingling. overdose may cause respiratory distress.",Moderate to high in excess. Use under guidance.,~0.6 g/kg lobeline in animals (est.),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4119142/;American Herbal Pharmacopoeia – Lobelia;Materia Medica – Eclectic School
lobelia-inflata,,Lobelia inflata,respiratory / nervine / strong medicinal,Moderate–Strong,north america,Legal with caution,"a powerful respiratory herb used by native americans and western herbalists to aid breathing, reduce asthma spasms, and stimulate detoxification. sometimes called ‘the thinking herb’ for its clarity-inducing effects.",Bronchodilation;Muscle relaxation;Emetic (high dose);Stimulates breath,"Contains lobeline, a nicotinic acetylcholine receptor partial agonist that stimulates respiration and clears airways. Also acts as a relaxant in low doses.",,🌬️ respiratory;🫁 bronchodilator;⚠️ low dose only;🌿 native american use,potentiates sedatives or respiratory stimulants.,"avoid in pregnancy, with heart disease, or alongside strong sedatives. use cautiously.",,"used for asthma, bronchitis, whooping cough, tension, and as a smoke cessation aid. in high doses, historically used to induce vomiting in detox protocols.",,"nausea, vomiting, salivation, dizziness, or tingling. overdose may cause respiratory distress.",Moderate to high in excess. Use under guidance.,~0.6 g/kg lobeline in animals (est.),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4119142/;American Herbal Pharmacopoeia – Lobelia;Materia Medica – Eclectic School
lophophora-williamsii,,Lophophora williamsii,psychedelic / entheogen / sacred,Strong,"southwestern u.s., mexico",Illegal in many countries; ceremonial exemption in U.S. (NAC),"a small cactus revered for centuries in native american and mesoamerican spiritual traditions. contains mescaline, a potent psychedelic that induces visionary, heart-centered, and introspective states. still legally protected for ceremonial use in some indigenous groups.",Visuals;Emotional opening;Ego dissolution;Sacred insight,"Mescaline is a serotonin 5-HT2A agonist and also modulates dopamine and norepinephrine. Alters perception, emotion, and time sense.",Mescaline,🌵 psychedelic;🌀 visionary;💖 sacred plant;🌈 mescaline,"do not combine with antidepressants, stimulants, or antihypertensives.","avoid with ssris, maois, heart conditions, or psychosis history. not for casual or unsupervised use.",,"used for ptsd, addiction, grief, personal transformation, and connection to spirit. studied for antidepressant and anti-addictive properties.",,"nausea, vomiting (especially in raw cactus), emotional overload, overstimulation. physically safe but requires emotional preparedness.",Low physiological toxicity. High psychological intensity.,"Mescaline LD50 ~880 mg/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7188374/;Plants of the Gods – Rätsch;Journal of Psychoactive Drugs, 2013"
peyote,,,none,unknown,unknown,Unknown,none,,Mescaline agonizes 5-HT2A receptors; psychedelic effects.,,none,"ssris, maois, stimulants.","psychosis, pregnancy.",,"spiritual experiences, ptsd research.",,"nausea, hallucinations.",,Mescaline LD50 ~212 mg/kg (rat).,false,
lsd,,Lysergic acid diethylamide,psychedelic,High,🌎 synthetic,Controlled / Illegal in many regions,semi-synthetic ergoline discovered in 1938; among the most potent psychedelics.,Intense visuals;ego dissolution;synesthesia,Potent 5-HT2A receptor agonist affecting serotonin and dopamine systems.,,⚠️ restricted;🌀 visionary;💊 oral,ssris may blunt effects; maois potentiate.,"psychosis, severe cardiovascular disease.",,"investigated for cluster headaches, anxiety, and addiction therapy.",2,"anxiety, confusion, possible flashbacks at high doses.",Very low physiological toxicity but strong psychological effects.,">14 mg/kg (mice, intravenous)",false,
lycopodium-clavatum,,Lycopodium clavatum,homeopathic / traditional / anticholinergic (spores),Very mild,"europe, north america, eurasia",Legal worldwide,"a moss-like vascular plant traditionally used in european folk and homeopathic medicine. its yellow spores were used in rituals and historically as flash powder due to their flammability. internally, it has been used for digestive and urinary complaints.",Cognitive stimulation (mild);Digestive tonic;Symbolic use;Spore dispersal agent,"Spores are inert unless extracted. Extracts may act mildly as cholinergic modulators or anti-inflammatory agents. In homeopathy, extremely diluted preparations are used for liver, bladder, and memory issues.",,🌿 moss;⚗️ homeopathy;🔥 ritual powder;🧠 memory,none documented at low doses.,"avoid in dry cough, asthma, or lung sensitivity (spores may irritate). not for use in pregnancy.",,"used in homeopathy for digestive bloating, urinary retention, liver stress, and memory loss. folk use includes treating gout, kidney stones, and fevers.",,rare. may cause irritation if spores inhaled or applied to wounds. avoid raw use in respiratory conditions.,Low externally; internal extracts used with caution.,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1070629/;Homeopathic Materia Medica – Boericke;Phytotherapy Research, 2002"
maca-root,,,none,unknown,unknown,Unknown,none,,Alkaloids modulate endocrine function and energy metabolism.,,none,hormonal therapies.,hormone-sensitive conditions.,,"energy, fertility, libido.",,"gi upset, jitteriness (rare).",,Very low; high tolerance in humans.,false,
mandragora-officinarum,,Mandragora officinarum,deliriant / hallucinogenic / historical magic,Extreme,"mediterranean, europe, near east",Restricted or regulated in some countries,"a legendary plant of myth and medicine, mandrake has deep roots in european witchcraft, alchemy, and ancient anesthetic practices. the humanoid root contains potent tropane alkaloids similar to deadly nightshades.",Hallucinations;Sedation;Amnesia;Pain relief (historical),"Scopolamine, hyoscyamine, and atropine act as central anticholinergics, disrupting memory, balance, perception, and consciousness. Mimics effects of belladonna and henbane.",,💀 toxic;🌙 magical;🌿 solanaceae;🌀 deliriant,"fatal with other anticholinergics, sedatives, maois, or alcohol.",unsafe in almost all settings. avoid with any cns-active substances or psychiatric history.,,"historically used for surgery anesthesia, pain, sleep, and aphrodisiac purposes. modern use is rare and dangerous.",,"confusion, visual hallucinations, overheating, dry mouth, tachycardia, respiratory distress. easily overdosed.",Very high. Even small doses can be toxic or fatal.,"Atropine ~453 mg/kg (rats, oral); scopolamine lower",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6367476/;Plants of the Gods – Rätsch;Toxicology in Herbal Medicine – 2020
mandrake,,Mandragora officinarum,ritual / visionary,Unknown,mediterranean,Cultivation legal in most regions,legendary root used in magic rituals; highly toxic.,hallucinations;sedation,Tropane alkaloids block muscarinic acetylcholine receptors,,☠️ toxic;🌿 root,anticholinergic medications,"heart conditions, pregnancy",0.1–0.3 g dried root,historical anesthetic,,"confusion, dry mouth, delirium",High,"~50 mg/kg (mice, scopolamine)",false,
mandrake-root,,Unknown,deliriant / toxic,High,🌎 unknown / global,Controlled / Toxic,mythic mediterranean root with hallucinogenic tropane alkaloids.,Narcotic;visionary trance,"Contains tropane alkaloids (scopolamine, atropine); anticholinergic deliriant.",,☠️ toxic,"potentiates other anticholinergics, cns depressants.","pregnancy, glaucoma, heart conditions.",,"historically used as anesthetic, antispasmodic, and in witchcraft.",1,"dry mouth, confusion, hallucinations, elevated heart rate.",Highly toxic in moderate doses.,"Scopolamine LD50 (rat, oral): ~310 mg/kg.",false,
mapacho,,,ritual / visionary,High,🇲🇽 latin america,Restricted (due to nicotine content),potent nicotiana rustica tobacco burned in ritual for focus and protection.,Sacred tobacco;heavy grounding,"Nicotine agonizes nicotinic acetylcholine receptors; contains β-carbolines (harmala alkaloids) acting as reversible MAO inhibitors [1, 0, 1, 9].",,\ud83c\udf2c\ufe0f smokable;\ud83d\udd2e ritual;\u26a0\ufe0f restricted,other nicotinic agonists and mao inhibitors.,"cardiovascular disease, pregnancy.",,"shamanic entheogen in rapé blends for sensory enhancement and ritual purification [1, 0].",1,"nausea, tachycardia, vomiting, dizziness at high doses [1, 0].",High risk of nicotine overdose; very toxic.,LD50 (nicotine) ~0.5–1.0 mg/kg in humans (oral); overdose via smoke is rare but possible.,false,
marrubium-vulgare,,Marrubium vulgare,expectorant / bitter,Unknown,"europe, north africa",Legal,"also known as horehound, used in cough drops",digestive stimulation;clear lungs,Diterpene lactone marrubiin stimulates mucus production,Marrubiin,🍬 candy,none noted,pregnancy high doses,1-2 g dried,"coughs, digestion",,bitter taste,Low,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6494426/;ESCOP Monograph – Marrubium;American Herbal Pharmacopoeia – Horehound
matricaria-chamomilla,,Matricaria chamomilla,nervine / digestive / anti-inflammatory,Mild,"europe, north africa, western asia (now global)",Legal worldwide,"a gentle daisy-like flower used worldwide for calming nerves, reducing inflammation, and aiding digestion. chamomile tea is one of the most common herbal remedies for stress and insomnia.",Calming;Sleep aid;Soothes digestion;Mild pain relief,"Contains apigenin, a flavonoid that binds to benzodiazepine receptors. Also anti-inflammatory through COX-2 inhibition and spasmolytic via smooth muscle relaxation.",,🧘 calm;🌼 sleep;🫖 tea;🌿 gut soothing,"mild interaction with blood thinners, sedatives.","avoid with warfarin (may potentiate), pregnancy (in very large doses), or severe allergies to asteraceae.",,"used for anxiety, insomnia, gi discomfort, colic, pms, and skin inflammation. also common in baby teas and skin creams.",,rare. may cause allergic reaction in ragweed-sensitive individuals. mild sedation.,Very low. Commonly consumed as food/tea.,">5 g/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2995283/;ESCOP Monograph – Chamomilla;The Complete German Commission E Monographs
melissa-officinalis,,Melissa officinalis,nervine / antiviral / cognitive,Mild,"mediterranean, now global",Legal worldwide,"a fragrant member of the mint family, lemon balm has been used for centuries to calm the nervous system, lift the mood, and improve memory. its subtle citrus aroma makes it popular in teas and tinctures.",Anti-anxiety;Cognitive clarity;Mood boost;Antiviral,"GABA-T inhibition and acetylcholine modulation. Rich in rosmarinic acid and flavonoids, which contribute to anxiolytic and nootropic effects.",,🍋 uplifting;🧘 nootropic;🌿 antiviral;🫖 nervine,may potentiate sedatives or thyroid medications.,avoid large doses in hypothyroidism (may suppress tsh).,,"used for stress, overthinking, anxiety, herpes simplex outbreaks, restlessness, and cognitive focus.",,rare. may cause drowsiness or lowered alertness in some. mild gi upset if taken in excess.,Very low.,">5 g/kg (rats, oral)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871149/;Journal of Ethnopharmacology, 2004;Herbal Medicine – Mills & Bone"
melissa-officinalis-lemon-balm,,Unknown,dissociative / sedative,Mild,🌎 unknown / global,Legal / Unregulated,lemony herb easing anxiety and digestive upset while calming the mind.,Anxiolytic;cognitive calming,Unknown,,☕ brewable;✅ safe;🌀 dissociation;🌬️ smokable;🧘 sedation;🧠 cognitive,"may potentiate sedatives, anticoagulants; caution with cns depressants [0, 16].","pregnancy, known asteraceae allergy [0, 16].",,"anxiety, insomnia, nervous tension, digestive aid [0, 8].",1,"drowsiness; possible allergic reactions; gi upset at high doses [0, 0].","Low; safe at therapeutic doses [0, 0].",Unknown,false,
mentha-piperita,,Mentha piperita,digestive / stimulant / antispasmodic,Mild,global cultivation,Legal worldwide,"a cooling, aromatic herb widely used for digestive and nervous system support. common in teas, extracts, and aromatherapy. historically used in european, middle eastern, and asian herbalism.",Soothes digestion;Stimulates focus;Relieves cramps;Cools,"Menthol and other essential oils act as calcium channel blockers in smooth muscle and desensitize cold receptors (TRPM8), producing cooling and antispasmodic effects.",,🌱 digestive;❄️ cooling;🧠 focus;🪻 aromatic,"may interact with antacids, cyclosporine, or calcium channel drugs.","avoid in gerd, gallstones, or infants (risk of respiratory spasm).",,"used for ibs, nausea, headache, muscle cramps, and focus. may be used topically for tension or inhaled for alertness.",,may cause heartburn or skin sensitivity. excess can cause nausea.,Low. Essential oil can be toxic in large doses.,"Menthol LD50 ~3300 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4103722/;ESCOP Monographs;Herbal Medicine – New Oxford Textbook
mescaline,,"3,4,5-trimethoxyphenethylamine",psychedelic,Moderate,🌎 americas,Controlled in many regions,classic phenethylamine psychedelic from peyote and san pedro cacti.,Color enhancement;empathy;spiritual visions,Phenethylamine psychedelic acting on 5-HT2A and dopamine receptors.,,⚠️ restricted;🌀 visionary;💊 oral,maois and sympathomimetics may potentiate.,"heart disease, pregnancy.",,traditional sacrament; studied for alcoholism and psychotherapy.,2,"nausea, increased heart rate, dilated pupils.",Low physiological toxicity; psychological effects strong.,">1,000 mg/kg (rats, oral)",false,
mimosa-hostilis,,Mimosa tenuiflora,ritual / visionary,Strong,"brazil, central america",DMT controlled in many countries,highly sought after for its dmt-rich root bark. used in anahuasca brews as a substitute for chacruna or yopo.,Visionary states;purging;emotional release,DMT – 5-HT2A agonist (requires MAOI orally),,⚠️ visionary;🌿 anahuasca;🧪 dmt,"maois, antidepressants","mental disorders, maois, ssris",,"spiritual healing, insight, skin regeneration (topical)",,"intense purging, nausea, anxiety","Low physiological, high psychological",Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6334226/;Plants of the Gods – Rätsch;Journal of Ethnopharmacology, 1993"
mimosa-pudica,,Mimosa pudica,nervine / anti-parasitic / mysterious plant movement,Mild–Moderate,"south america, southeast asia, india",Legal worldwide,"known for its rapid leaf-closing reflex, this tropical creeping plant is used in ayurvedic and modern herbal medicine for gut detox, parasite cleansing, and calming the nerves.",Intestinal cleanse;Antiparasitic;Calming;Unique tactile motion,"Contains mimosine, alkaloids, and tannins. Antiparasitic action through mechanical mucilage binding and gut wall modulation. Also mildly acts on serotonin and GABA pathways.",,🧬 gut health;🪱 parasite cleanse;🌿 ayurvedic;🖐️ reactive plant,may bind to medications and reduce absorption. space doses accordingly.,avoid in pregnancy. use caution in constipation or with gi disorders unless guided.,,"used for intestinal worms, heavy metal detox, gi inflammation, gut-brain axis repair, and nervous tension.",,"possible constipation, fatigue, or gut discomfort in first few days. rare allergic response.",Low–Moderate. Use within appropriate dose ranges.,">2000 mg/kg (rats, oral extract)",false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4027290/;Ayurvedic Pharmacopeia – India;Journal of Parasitology Research, 2017"
mitchella-repens,,Mitchella repens,ethnobotanical,unknown,north america,Unknown,"known as partridgeberry, used as a uterine tonic and mild relaxing agent in north american herbalism.",relaxation;nervine,Smooth muscle relaxant,Saponins;Iridoids,calming;uterine;folk remedy,none,none,,none,,none,,,false,
mitragyna-hirsuta,,Mitragyna hirsuta,stimulant / relaxant / kratom alternative,Mild–Moderate,"thailand, southeast asia",Legal in most regions,"a close relative of mitragyna speciosa (kratom), this thai tree is used as a legal alternative with gentler psychoactive effects. traditionally chewed by laborers for stamina and focus.",Mild euphoria;Calm stimulation;Analgesia;Energy boost,"Contains mitraphylline and isomitraphylline — alkaloids that act on opioid receptors (mu, delta) and possibly serotonin/dopamine pathways, though weaker than kratom.",,🍃 kratom-like;⚡ energy;🧘 calm;🩹 mild analgesic,similar caution as with kratom — potential additive effect with sedatives.,"avoid combining with opioids, depressants, or alcohol. safety in pregnancy unknown.",,"used for mood lift, fatigue reduction, mild pain relief, and kratom tapering.",,"mild nausea, dry mouth, light sedation. fewer side effects than kratom. little to no dependency reported.",Low to moderate. No confirmed toxicity in traditional doses.,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6571610/;Journal of Ethnopharmacology, 2016;Thai Botanical Index – 2014"
mitragyna-hirsuta,,Mitragyna hirsuta,stimulant / relaxant / kratom alternative,Mild–Moderate,"thailand, southeast asia",Legal in most regions,"a close relative of mitragyna speciosa (kratom), this thai tree is used as a legal alternative with gentler psychoactive effects. traditionally chewed by laborers for stamina and focus.",Mild euphoria;Calm stimulation;Analgesia;Energy boost,"Contains mitraphylline and isomitraphylline — alkaloids that act on opioid receptors (mu, delta) and possibly serotonin/dopamine pathways, though weaker than kratom.",,🍃 kratom-like;⚡ energy;🧘 calm;🩹 mild analgesic,similar caution as with kratom — potential additive effect with sedatives.,"avoid combining with opioids, depressants, or alcohol. safety in pregnancy unknown.",,"used for mood lift, fatigue reduction, mild pain relief, and kratom tapering.",,"mild nausea, dry mouth, light sedation. fewer side effects than kratom. little to no dependency reported.",Low to moderate. No confirmed toxicity in traditional doses.,Not established,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6571610/;Journal of Ethnopharmacology, 2016;Thai Botanical Index – 2014"
ephedra-nevadensis,,Ephedra nevadensis,stimulant,Unknown,north america,Legal,mild stimulant desert shrub without strong ephedra content.,mild stimulation,Contains ephedrine-like alkaloids releasing norepinephrine,,☕ brewable,"stimulants, decongestants",hypertension,5–10 g dried stems,decongestant,,increased heart rate,Low,>500 mg/kg (mice),false,
mucuna-pruriens,,Mucuna pruriens,stimulant / nootropic,Moderate,tropical asia and africa,Legal,also called velvet bean; boosts dopamine and serves as a traditional tonic in ayurvedic practice.,increased motivation;energy;elevated mood,Seeds contain L‑DOPA which increases brain dopamine levels,,ayurveda;dopamine;velvet bean,avoid with maois or dopamine medications,"psychosis, concurrent l‑dopa medication",,"used in ayurveda for parkinson's disease, mood disorders and vitality",,nausea or headache with excessive intake,Generally safe at typical doses; high doses may cause nausea,>6 g/kg in rodents,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4213965/;Journal of Traditional and Complementary Medicine, 2015;Ayurvedic Materia Medica"
mucuna-pruriens,,Mucuna pruriens,stimulant / nootropic,Moderate,tropical asia and africa,Legal,also called velvet bean; boosts dopamine and serves as a traditional tonic in ayurvedic practice.,increased motivation;energy;elevated mood,Seeds contain L‑DOPA which increases brain dopamine levels,,ayurveda;dopamine;velvet bean,avoid with maois or dopamine medications,"psychosis, concurrent l‑dopa medication",,"used in ayurveda for parkinson's disease, mood disorders and vitality",,nausea or headache with excessive intake,Generally safe at typical doses; high doses may cause nausea,>6 g/kg in rodents,false,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4213965/;Journal of Traditional and Complementary Medicine, 2015;Ayurvedic Materia Medica"
muira-puama,,,none,unknown,unknown,Unknown,none,,May enhance dopamine activity and increase blood flow; adaptogenic.,,none,"stimulants, antidepressants.","hypertension, pregnancy.",,"libido enhancement, cognitive function, stress relief.",,"headache, insomnia (high doses).",,Low; traditionally used safely.,false,
mulungu,,,none,unknown,unknown,Unknown,none,,Sedative alkaloids may bind GABA and serotonin receptors.,,none,"antihypertensives, depressants.","low blood pressure, sedative use.",,"anxiety, stress, insomnia.",,"drowsiness, hypotension.",,Low toxicity reported.,false,
myristica-fragrans,Nutmeg,Myristica fragrans,ritual / visionary,Strong,indonesia,Legal,nutmeg seeds can be psychoactive in large amounts.,Deliriant states;nausea,Myristicin metabolizes to MMDA-like compounds,Myristicin;Elemicin,⚠️ caution;🌿 seed;🧪 phenethylamine,potential maoi interaction,"pregnancy, psychiatric conditions",,rarely used therapeutically,,"nausea, dehydration, delirium",High at large doses,Myristicin LD50 ~400 mg/kg (mouse),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457357/;Plants of the Gods – Rätsch;Toxicology of Spices – 2012
myristica-fragrans,Nutmeg,Myristica fragrans,ritual / visionary,Strong,indonesia,Legal,nutmeg seeds can be psychoactive in large amounts.,Deliriant states;nausea,Myristicin metabolizes to MMDA-like compounds,Myristicin;Elemicin,⚠️ caution;🌿 seed;🧪 phenethylamine,potential maoi interaction,"pregnancy, psychiatric conditions",,rarely used therapeutically,,"nausea, dehydration, delirium",High at large doses,Myristicin LD50 ~400 mg/kg (mouse),false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3457357/;Plants of the Gods – Rätsch;Toxicology of Spices – 2012
nelumbo-lutea,,Nelumbo lutea,nervine / sacred / hormonal,Mild,north america,Legal worldwide,"a north american relative of the sacred lotus, nelumbo lutea has similar calming, euphoric properties. it has been used by native american groups for its edible seeds and roots, and possibly ceremonial effects when brewed from the flower.",Tranquility;Heart-opening;Sensual awareness;Lucid dreaming,"Contains alkaloids such as nuciferine and neferine, modulating dopamine and serotonin receptors. Mildly sedative and possibly aphrodisiac.",,🪷 sacred;🌿 native american;🌙 dream;💖 hormonal,may potentiate sedatives or antihypertensives.,avoid with sedatives or hypotension. safety during pregnancy not well studied.,,"used traditionally for calming the mind, balancing hormones, dreamwork, and as a meditative herb.",,"drowsiness, lowered blood pressure, dry mouth in sensitive users.",Low at traditional doses.,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3991026/;Ethnobotany of North American Indians – 1993;Plants of the Gods – Rätsch
nelumbo-nucifera,Sacred Lotus,Nelumbo nucifera,oneirogen,Mild,"india, china, southeast asia",Legal,"sacred lotus revered for tranquil, mildly euphoric properties.",Relaxation;dream enhancement;calm euphoria,Dopamine receptor agonism (aporphine alkaloids),Nuciferine;Neferine,✅ safe;🌸 calm;🧘 meditation,avoid cns depressants,"sedatives, pregnancy",,"calm, aphrodisiac, meditation support",1,"sedation, mild dizziness",Low,Not established,false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7442399/;Ayurvedic Herbal Compendium;Chinese Pharmacopoeia
nepeta-cataria,Catnip,Nepeta cataria,nervine / mild sedative / folk remedy,Mild,"europe, north america",Legal worldwide,"best known for its effects on cats, catnip is also a gentle human nervine herb traditionally used for digestion, colds, and sleep. it has a subtle calming effect and is often included in herbal teas.",Relaxation;Mild euphoria;Digestive aid;Sleep support,Nepetalactone interacts with GABAergic and opioid pathways in humans. Also antispasmodic and diaphoretic.,Nepetalactone,🐱 cat herb;🧘 calm;🫖 tea;🌿 folk medicine,may interact with sedatives or barbiturates.,avoid during pregnancy (stimulates uterus). not recommended before operating machinery.,,"used for anxiety, insomnia, indigestion, fever, and colic. also a mild menstrual relaxant.",,mild drowsiness or stomach upset. rare allergic reaction.,Very low. Safe in tea form at moderate doses.,">3000 mg/kg (rats, oral)",false,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3612440/;Herbal Medicine – Mills & Bone;Materia Medica – David Hoffman
nicotiana-rustica,Aztec Tobacco,Nicotiana rustica,stimulant / ritual,Strong,south america and worldwide cultivation,Legal but regulated like tobacco,"potent tobacco species used ceremonially in the amazon, far stronger than common n. tabacum.",alertness;intense buzz;clearing of thoughts,High nicotine plus MAO‑inhibiting beta‑carbolines stimulate nicotinic receptors and inhibit MAO,Nicotine;Harmala alkaloids,mapacho;nicotine;tobacco,strongly potentiated by maois; interacts with many medications,"heart disease, pregnancy, hypertension",,used by amazonian shamans for cleansing and focus,,"nausea, increased heart rate, dizziness",High nicotine content can be poisonous in large amounts,Nicotine LD50 ~50 mg/kg (mouse),false,
nicotiana-rustica,Aztec Tobacco,Nicotiana rustica,stimulant / ritual,Strong,south america and worldwide cultivation,Legal but regulated like tobacco,"potent tobacco species used ceremonially in the amazon, far stronger than common n. tabacum.",alertness;intense buzz;clearing of thoughts,High nicotine plus MAO‑inhibiting beta‑carbolines stimulate nicotinic receptors and inhibit MAO,Nicotine;Harmala alkaloids,mapacho;nicotine;tobacco,strongly potentiated by maois; interacts with many medications,"heart disease, pregnancy, hypertension",,used by amazonian shamans for cleansing and focus,,"nausea, increased heart rate, dizziness",High nicotine content can be poisonous in large amounts,Nicotine LD50 ~50 mg/kg (mouse),false,
nicotiana-tabacum,,Nicotiana tabacum,stimulant,Unknown,worldwide,Regulated,common tobacco plant widely used recreationally,alertness;mild euphoria,Nicotine stimulates nicotinic acetylcholine receptors releasing dopamine,,⚠️ addictive;🚬 smoke,additive with stimulants,"heart disease, pregnancy",1-2 cigarettes equivalent,"traditional ceremonies, appetite suppression",,"addiction, cardiovascular strain",Moderate,50 mg/kg (rats),false,
